area_code,year,life_expectancy,imd_score,imd_decile,physiological_score,behavioural_score
E06000001,2015,78.738395,35.037,1,89.9,84.9
E06000001,2016,79.07321,35.037,1,88.8,84.4
E06000001,2017,79.08000000000001,35.037,1,84.8,82.7
E06000001,2018,78.81,35.037,1,84.6,81
E06000002,2015,77.78726,40.46,1,96.4,80.3
E06000002,2016,77.64862500000001,40.46,1,95.8,82.6
E06000002,2017,77.845,40.46,1,96.7,84.5
E06000002,2018,77.63,40.46,1,96.2,82.2
E06000003,2015,79.624105,29.792,3,87.2,96.3
E06000003,2016,79.88248,29.792,3,86.3,93.7
E06000003,2017,79.955,29.792,3,86,95.6
E06000003,2018,79.48,29.792,3,79.2,90.7
E06000004,2015,79.764195,25.79,4,96.6,88.9
E06000004,2016,79.77521999999999,25.79,4,95.9,91.6
E06000004,2017,80.095,25.79,4,94.3,89.4
E06000004,2018,79.7,25.79,4,91.5,85.1
E06000005,2015,80.359415,25.657,4,86.5,96.7
E06000005,2016,80.55270999999999,25.657,4,85,94.8
E06000005,2017,80.355,25.657,4,91.2,94.1
E06000005,2018,79.685,25.657,4,87.2,95.1
E06000006,2015,79.07588,32.325,2,85,83.8
E06000006,2016,79.09898,32.325,2,84.5,86.6
E06000006,2017,79.525,32.325,2,93.1,89.1
E06000006,2018,79.375,32.325,2,78.9,84.7
E06000007,2015,80.66781,18.942,7,97.4,95.4
E06000007,2016,80.949345,18.942,7,96.9,95.1
E06000007,2017,80.9,18.942,7,95.8,98.1
E06000007,2018,80.62,18.942,7,94.4,94
E06000008,2015,78.370785,36.013,1,97.9,81.3
E06000008,2016,78.64403999999999,36.013,1,96.7,84.1
E06000008,2017,78.83500000000001,36.013,1,91.4,93.6
E06000008,2018,78.315,36.013,1,94.3,85.8
E06000009,2015,76.858135,45.039,1,83.6,72.4
E06000009,2016,76.99025,45.039,1,82.5,74.5
E06000009,2017,76.97,45.039,1,87.3,75.6
E06000009,2018,76.535,45.039,1,84,77.3
E06000010,2015,77.938995,40.564,1,95.6,81.4
E06000010,2016,78.0741,40.564,1,93.7,80.7
E06000010,2017,77.97,40.564,1,89.8,81.3
E06000010,2018,77.80000000000001,40.564,1,87.9,75.8
E06000011,2015,81.78010499999999,15.605,9,86.1,103.8
E06000011,2016,81.94176,15.605,9,84.8,104.9
E06000011,2017,82.09,15.605,9,85.1,102.6
E06000011,2018,81.78999999999999,15.605,9,92.4,101.2
E06000012,2015,79.69257999999999,31.335,2,92.3,88.1
E06000012,2016,79.865665,31.335,2,91.6,95.1
E06000012,2017,79.955,31.335,2,82.6,97.3
E06000012,2018,80.105,31.335,2,83.3,92.4
E06000013,2015,80.765585,22.096,6,86.9,93.1
E06000013,2016,80.70998,22.096,6,86.5,98.6
E06000013,2017,80.78999999999999,22.096,6,83,96.3
E06000013,2018,80.71000000000001,22.096,6,80,92
E06000014,2015,81.82725500000001,11.727,10,109.8,102.7
E06000014,2016,81.728205,11.727,10,109.5,102.6
E06000014,2017,81.91,11.727,10,108.8,104.6
E06000014,2018,81.76,11.727,10,113,103.3
E06000015,2015,80.572755,26.323,4,97,91.3
E06000015,2016,80.430065,26.323,4,97.4,92.2
E06000015,2017,80.32499999999999,26.323,4,96.5,91.9
E06000015,2018,79.595,26.323,4,96.2,88.5
E06000016,2015,79.42887999999999,30.877,2,97.7,89.4
E06000016,2016,79.54289,30.877,2,96.8,92.6
E06000016,2017,79.87,30.877,2,99.3,92
E06000016,2018,79.16499999999999,30.877,2,99.9,93.5
E06000017,2015,84.09357499999999,8.381,10,98.3,109.4
E06000017,2016,84.33529,8.381,10,98,112.7
E06000017,2017,84.2,8.381,10,96.7,111.5
E06000017,2018,84.07,8.381,10,94,113.6
E06000018,2015,79.050385,34.891,1,108.8,83.4
E06000018,2016,79.24852,34.891,1,108.1,86.3
